episode_number,done,out_of_lane,exceed_max_rot,crashed,overlap,n_passed,num_steps
144,True,False,False,True,[0.00119275],0,19
145,True,False,True,True,[0.],0,37
146,True,False,True,True,[0.],0,33
147,True,False,True,True,[0.],0,22
148,False,False,False,False,[0.],1,91
149,True,True,False,False,[0.],0,38
150,False,False,False,False,[0.],1,91
151,False,False,False,False,[0.],1,91
152,True,False,False,True,[0.00070774],0,23
153,True,False,True,True,[0.],0,32
154,False,False,False,False,[0.],1,91
155,True,True,True,False,[0.],0,49
156,False,False,False,False,[0.],1,91
157,True,False,True,True,[0.],0,46
158,True,False,False,True,[0.0008995],0,47
159,False,False,False,False,[0.],1,91
160,False,False,False,False,[0.],1,91
161,False,False,False,False,[0.],1,91
162,True,False,False,True,[0.0012147],0,29
163,False,False,False,False,[0.],1,91
164,True,True,False,False,[0.],1,43
165,True,True,False,False,[0.],0,35
166,True,False,False,True,[0.],0,21
167,True,False,False,True,[0.02909842],0,43
168,False,False,False,False,[0.],1,91
169,True,False,False,True,[0.00288486],0,23
170,True,True,True,False,[0.],0,31
171,True,False,False,True,[0.],0,20
172,True,False,False,True,[0.],0,27
173,True,False,True,True,[0.],0,28
174,True,False,True,False,[0.],1,47
175,True,False,True,True,[0.],0,29
176,False,False,False,False,[0.],1,91
177,True,False,False,True,[0.],0,19
178,True,False,False,False,[0.],1,61
179,True,True,False,False,[0.],0,39
180,True,False,False,True,[0.00812885],0,22
181,True,False,False,True,[0.],0,26
182,True,True,True,False,[0.],0,28
183,False,False,False,False,[0.],1,91
184,True,False,False,True,[0.],0,27
185,True,False,False,False,[0.],1,83
186,True,True,True,False,[0.],0,31
187,True,False,True,True,[0.],0,20
188,False,False,False,False,[0.],1,91
189,False,False,False,False,[0.],1,91
190,True,True,False,False,[0.],0,30
191,True,False,True,True,[0.],0,33
192,False,False,False,False,[0.],1,91
193,True,False,True,True,[0.],0,28
194,False,False,False,False,[0.],1,91
195,False,False,False,False,[0.],1,91
196,True,False,True,True,[0.],0,32
197,False,False,False,False,[0.],1,91
198,False,False,False,False,[0.],1,91
199,False,False,False,False,[0.],1,91
200,True,False,False,True,[0.00034695],0,27
201,True,True,True,False,[0.],0,34
202,True,True,True,False,[0.],0,35
203,False,False,False,False,[0.],1,91
204,True,False,False,False,[0.],0,47
205,True,False,False,True,[0.],0,32
206,True,True,False,False,[0.],0,39
207,True,False,False,False,[0.],1,52
208,True,True,False,False,[0.],0,39
209,False,False,False,False,[0.],1,91
210,True,True,False,False,[0.],0,38
211,False,False,False,False,[0.],1,91
212,False,False,False,False,[0.],1,91
213,False,False,False,False,[0.],1,91
214,True,False,True,True,[0.],0,30
215,True,True,True,False,[0.],0,33
216,False,False,False,False,[0.],1,91
217,True,False,False,True,[0.],0,19
218,False,False,False,False,[0.],1,91
219,True,True,False,False,[0.],0,33
220,False,False,False,False,[0.],1,91
221,False,False,False,False,[0.],0,91
222,False,False,False,False,[0.],1,91
223,True,False,False,True,[0.],0,28
224,False,False,False,False,[0.],1,91
225,False,False,False,False,[0.],1,91
226,True,False,True,True,[0.],0,31
227,True,True,True,False,[0.],0,37
228,False,False,False,False,[0.],1,91
229,True,False,False,True,[0.],0,25
230,True,True,True,False,[0.],0,35
231,False,False,False,False,[0.],1,91
232,False,False,False,False,[0.],1,91
233,True,False,False,True,[0.],0,20
234,False,False,False,False,[0.],1,91
235,False,False,False,False,[0.],1,91
236,False,False,False,False,[0.],1,91
237,False,False,False,False,[0.],1,91
238,False,False,False,False,[0.],1,91
239,False,False,False,False,[0.],1,91
240,False,False,False,False,[0.],1,91
241,True,True,True,False,[0.],0,36
242,True,False,True,True,[0.],0,28
243,False,False,False,False,[0.],1,91
244,True,False,False,False,[0.],0,38
245,True,False,False,True,[0.],0,27
246,False,False,False,False,[0.],1,91
247,True,True,True,False,[0.],0,37
248,False,False,False,False,[0.],1,91
249,True,False,False,True,[0.],0,25
250,False,False,False,False,[0.],1,91
251,False,False,False,False,[0.],1,91
252,False,False,False,False,[0.],1,91
253,True,False,False,True,[0.00957215],0,29
254,True,False,False,True,[0.],0,20
255,True,True,False,False,[0.],0,37
256,True,True,True,False,[0.],0,32
257,False,False,False,False,[0.],1,91
258,True,False,False,False,[0.],0,38
259,False,False,False,False,[0.],1,91
260,True,True,True,False,[0.],0,37
261,True,False,False,False,[0.],0,39
262,True,False,False,True,[0.],0,17
263,True,False,True,True,[0.],0,27
264,False,False,False,False,[0.],1,91
265,True,False,False,True,[0.],0,26
266,True,False,True,True,[0.],0,20
267,False,False,False,False,[0.],1,91
268,False,False,False,False,[0.],1,91
269,True,True,False,False,[0.],0,40
270,False,False,False,False,[0.],1,91
271,False,False,False,False,[0.],1,91
272,False,False,False,False,[0.],1,91
273,True,False,True,True,[0.],0,29
274,True,True,True,False,[0.],0,20
275,True,True,True,False,[0.],0,39
276,True,False,False,True,[0.00553612],0,21
277,True,False,False,False,[0.],0,44
278,False,False,False,False,[0.],1,91
279,False,False,False,False,[0.],1,91
280,False,False,False,False,[0.],1,91
281,False,False,False,False,[0.],1,91
282,True,False,False,True,[0.],0,29
283,False,False,False,False,[0.],1,91
284,True,False,True,True,[0.],0,26
285,False,False,False,False,[0.],1,91
286,True,False,False,True,[0.],0,26
287,False,False,False,False,[0.],1,91
288,False,False,False,False,[0.],1,91
289,True,False,True,True,[0.],0,25
290,True,False,True,True,[0.],0,27
291,False,False,False,False,[0.],1,91
292,False,False,False,False,[0.],1,91
293,False,False,False,False,[0.],1,91
294,False,False,False,False,[0.],1,91
295,False,False,False,False,[0.],1,91
296,True,True,False,False,[0.],0,34
297,False,False,False,False,[0.],1,91
298,False,False,False,False,[0.],1,91
299,False,False,False,False,[0.],1,91
