episode_number,done,out_of_lane,exceed_max_rot,crashed,overlap,n_passed,num_steps
144,True,False,False,True,[0.],0,19
145,True,False,True,True,[0.],0,37
146,True,False,False,True,[0.01349678],0,53
147,True,False,True,True,[0.],0,23
148,False,False,False,False,[0.],1,91
149,False,True,True,False,[0.],1,91
150,False,False,False,False,[0.],1,91
151,False,False,False,False,[0.],1,91
152,True,False,False,True,[0.],0,23
153,False,False,False,False,[0.],1,91
154,False,False,False,False,[0.],1,91
155,False,True,False,False,[0.],1,91
156,False,False,False,False,[0.],1,91
157,True,False,True,True,[0.],0,49
158,True,False,False,True,[0.],0,49
159,True,False,False,True,[0.],0,42
160,False,False,False,False,[0.],1,91
161,False,False,False,False,[0.],1,91
162,True,False,False,True,[0.00020374],0,28
163,False,False,False,False,[0.],1,91
164,False,False,False,False,[0.],1,91
165,False,False,False,False,[0.],1,91
166,True,False,False,True,[0.],0,21
167,True,False,False,True,[0.02075007],0,44
168,False,False,False,False,[0.],1,91
169,True,False,False,True,[0.00261988],0,23
170,False,False,False,False,[0.],1,91
171,True,False,False,True,[0.],0,20
172,True,False,False,True,[0.],0,27
173,True,True,True,False,[0.],1,47
174,True,False,True,False,[0.],1,47
175,True,False,True,True,[0.],0,30
176,False,False,False,False,[0.],1,91
177,True,False,False,True,[0.],0,19
178,True,False,False,False,[0.],1,61
179,False,False,False,False,[0.],1,91
180,True,False,False,True,[0.00223495],0,22
181,False,False,False,False,[0.],1,91
182,False,False,True,False,[0.],1,91
183,False,False,False,False,[0.],1,91
184,True,False,False,True,[0.],0,29
185,True,False,False,False,[0.],1,81
186,False,False,False,False,[0.00217997],0,91
187,True,False,True,True,[0.],0,20
188,False,False,False,False,[0.],1,91
189,False,False,False,False,[0.],1,91
190,False,False,False,False,[0.],1,91
191,True,False,False,True,[0.06305372],0,56
192,False,False,False,False,[0.],1,91
193,False,False,False,False,[0.],1,91
194,False,False,False,False,[0.],1,91
195,False,False,False,False,[0.],1,91
196,False,False,False,False,[0.],1,91
197,False,False,False,False,[0.],1,91
198,False,False,False,False,[0.],1,91
199,False,False,False,False,[0.],1,91
200,True,False,False,True,[0.00965703],0,26
201,True,False,True,True,[0.],0,26
202,False,False,False,False,[0.],1,91
203,False,False,False,False,[0.],1,91
204,True,False,False,False,[0.],0,51
205,True,False,False,True,[0.02250242],0,33
206,True,False,False,False,[0.],1,55
207,True,False,False,False,[0.],1,52
208,False,True,False,False,[0.],0,91
209,False,False,False,False,[0.],1,91
210,False,False,False,False,[0.],1,91
211,False,False,False,False,[0.],1,91
212,False,False,False,False,[0.],1,91
213,False,False,False,False,[0.],1,91
214,False,False,False,False,[0.],1,91
215,False,False,False,False,[0.],1,91
216,False,False,False,False,[0.],1,91
217,True,False,False,True,[0.],0,19
218,False,False,False,False,[0.],1,91
219,False,False,False,False,[0.],1,91
220,False,False,False,False,[0.],1,91
221,False,False,False,False,[0.],0,91
222,False,False,False,False,[0.],1,91
223,True,False,False,True,[0.],0,28
224,False,False,False,False,[0.],1,91
225,False,False,False,False,[0.],1,91
226,True,False,True,True,[0.],0,31
227,True,False,False,True,[0.],0,19
228,False,False,False,False,[0.],1,91
229,True,False,False,True,[0.],0,25
230,False,False,False,False,[0.],1,91
231,False,False,False,False,[0.],1,91
232,False,False,False,False,[0.],1,91
233,True,False,False,True,[0.],0,20
234,False,False,False,False,[0.],1,91
235,False,False,False,False,[0.],1,91
236,False,False,False,False,[0.],1,91
237,False,False,False,False,[0.],1,91
238,True,False,True,True,[0.],0,30
239,False,False,False,False,[0.],1,91
240,False,False,False,False,[0.],1,91
241,True,True,True,False,[0.],1,51
242,True,False,True,True,[0.],0,28
243,False,False,False,False,[0.],1,91
244,True,False,False,False,[0.],0,37
245,True,False,False,True,[0.],0,27
246,False,False,False,False,[0.],1,91
247,False,False,False,False,[0.],1,91
248,False,False,False,False,[0.],1,91
249,False,False,False,False,[0.],1,91
250,False,False,False,False,[0.],1,91
251,False,False,False,False,[0.],1,91
252,False,False,False,False,[0.],1,91
253,True,False,False,True,[0.],0,29
254,True,False,True,True,[0.],0,20
255,False,False,False,False,[0.],1,91
256,False,False,False,False,[0.],1,91
257,False,False,False,False,[0.],1,91
258,True,False,False,False,[0.],0,39
259,False,False,False,False,[0.],1,91
260,True,False,True,False,[0.],1,60
261,True,False,False,False,[0.],0,41
262,True,False,False,True,[0.],0,17
263,False,False,False,False,[0.],0,91
264,False,False,False,False,[0.],1,91
265,True,False,False,True,[0.],0,24
266,False,False,False,False,[0.],1,91
267,True,True,True,False,[0.],1,85
268,False,False,False,False,[0.],1,91
269,False,True,False,False,[0.],1,91
270,False,False,False,False,[0.],1,91
271,False,False,False,False,[0.],1,91
272,False,False,False,False,[0.],1,91
273,True,False,True,True,[0.],0,29
274,True,True,True,False,[0.],0,40
275,False,False,False,False,[0.],1,91
276,True,False,False,True,[0.00589876],0,21
277,True,False,False,False,[0.],0,41
278,False,False,False,False,[0.],1,91
279,False,False,False,False,[0.],1,91
280,False,False,False,False,[0.],1,91
281,False,False,False,False,[0.],1,91
282,False,False,False,False,[0.],1,91
283,False,False,False,False,[0.],1,91
284,True,False,True,True,[0.],0,26
285,False,False,False,False,[0.],1,91
286,True,False,False,True,[0.],0,25
287,False,False,False,False,[0.],1,91
288,False,False,False,False,[0.],1,91
289,True,False,True,True,[0.],0,24
290,False,False,False,False,[0.],1,91
291,False,False,False,False,[0.],1,91
292,False,False,False,False,[0.],1,91
293,False,False,False,False,[0.],1,91
294,False,False,False,False,[0.],1,91
295,False,False,False,False,[0.],1,91
296,False,False,False,False,[0.],1,91
297,False,False,False,False,[0.],1,91
298,False,False,False,False,[0.],1,91
299,False,False,False,False,[0.],1,91
