timestamp,camera_front
1645481421.383117914,2628
1645481421.416493893,2629
1645481421.449904919,2630
1645481421.483143091,2631
1645481421.516577959,2632
1645481421.549909115,2633
1645481421.583175898,2634
1645481421.616518021,2635
1645481421.649925947,2636
1645481421.683124065,2637
1645481421.716453075,2638
1645481421.749819994,2639
1645481421.783243895,2640
1645481421.816456079,2641
1645481421.849865913,2642
1645481421.883138895,2643
1645481421.916572094,2644
1645481421.949894905,2645
1645481421.983124018,2646
1645481422.016485929,2647
1645481422.049917936,2648
1645481422.083154917,2649
1645481422.116534948,2650
1645481422.149982929,2651
1645481422.183248997,2652
1645481422.216626883,2653
1645481422.249887943,2654
1645481422.283282042,2655
1645481422.316555023,2656
1645481422.349817038,2657
1645481422.383218050,2658
1645481422.416445017,2659
1645481422.449894905,2660
1645481422.483242989,2661
1645481422.516402006,2662
1645481422.549823046,2663
1645481422.583205938,2664
1645481422.616535902,2665
1645481422.649787903,2666
1645481422.683151960,2667
1645481422.716541052,2668
1645481422.749794006,2669
1645481422.783181906,2670
1645481422.816421032,2671
1645481422.849853039,2672
1645481422.883141041,2673
1645481422.916439056,2674
1645481422.949815989,2675
1645481422.983247995,2676
1645481423.016436100,2677
1645481423.049840927,2678
1645481423.083200932,2679
1645481423.116421938,2680
1645481423.149827003,2681
1645481423.183223963,2682
1645481423.216463089,2683
1645481423.249944925,2684
1645481423.283102036,2685
1645481423.316446066,2686
1645481423.349906921,2687
1645481423.383141994,2688
1645481423.416488886,2689
1645481423.449892044,2690
1645481423.483186007,2691
1645481423.516625881,2692
1645481423.549918890,2693
1645481423.583173037,2694
1645481423.616624117,2695
1645481423.650120020,2696
1645481423.683290958,2697
1645481423.716742039,2698
1645481423.750171900,2699
1645481423.783580065,2700
1645481423.816853046,2701
1645481423.850168943,2702
1645481423.883414030,2703
1645481423.916802883,2704
1645481423.950079918,2705
1645481423.983457088,2706
1645481424.016836882,2707
1645481424.050048113,2708
1645481424.083350897,2709
1645481424.116729975,2710
1645481424.150085926,2711
1645481424.183360100,2712
1645481424.216677904,2713
1645481424.249991894,2714
1645481424.283318043,2715
1645481424.316700935,2716
1645481424.349972963,2717
1645481424.383313894,2718
1645481424.416568995,2719
1645481424.450016975,2720
1645481424.483237028,2721
1645481424.516640902,2722
1645481424.550024033,2723
1645481424.583285093,2724
1645481424.616648912,2725
1645481424.649899006,2726
1645481424.683222055,2727
1645481424.716667891,2728
1645481424.750042915,2729
1645481424.783291101,2730
1645481424.816709042,2731
1645481424.850003004,2732
1645481424.883219957,2733
1645481424.916593075,2734
1645481424.949935913,2735
1645481424.983258009,2736
1645481425.016619921,2737
1645481425.049981117,2738
1645481425.083203077,2739
1645481425.116677046,2740
1645481425.150005102,2741
1645481425.183253050,2742
1645481425.216594934,2743
1645481425.249952078,2744
1645481425.283207893,2745
1645481425.316601038,2746
1645481425.349947929,2747
1645481425.383251905,2748
1645481425.416567087,2749
1645481425.449879885,2750
1645481425.483180046,2751
1645481425.516547918,2752
1645481425.550008059,2753
1645481425.583134890,2754
1645481425.616552114,2755
1645481425.649995089,2756
1645481425.683183908,2757
1645481425.716502905,2758
1645481425.749932051,2759
1645481425.783269882,2760
1645481425.816551924,2761
1645481425.849865913,2762
1645481425.883207083,2763
1645481425.916482925,2764
1645481425.949945927,2765
1645481425.983268023,2766
1645481426.016628981,2767
1645481426.049948931,2768
1645481426.083235979,2769
1645481426.116652966,2770
1645481426.149975061,2771
1645481426.183234930,2772
1645481426.216538906,2773
1645481426.249931097,2774
1645481426.283190012,2775
1645481426.316586971,2776
1645481426.349893093,2777
1645481426.383186102,2778
1645481426.416536093,2779
1645481426.450025082,2780
1645481426.483171940,2781
1645481426.516510010,2782
1645481426.549932957,2783
1645481426.583170891,2784
1645481426.616605997,2785
1645481426.649912119,2786
1645481426.683199883,2787
1645481426.716483116,2788
1645481426.749965906,2789
1645481426.783159971,2790
1645481426.816570997,2791
1645481426.849936008,2792
1645481426.883188963,2793
1645481426.916593075,2794
1645481426.949866056,2795
1645481426.983253002,2796
1645481427.016583920,2797
1645481427.049916029,2798
1645481427.083235979,2799
1645481427.116583109,2800
1645481427.149868965,2801
1645481427.183213949,2802
1645481427.216481924,2803
1645481427.249895096,2804
1645481427.283298969,2805
1645481427.316580057,2806
1645481427.349956989,2807
1645481427.383344889,2808
1645481427.416548014,2809
1645481427.449807882,2810
1645481427.483192921,2811
1645481427.516391039,2812
1645481427.550172091,2813
1645481427.583146095,2814
1645481427.616549969,2815
1645481427.649871111,2816
1645481427.683171034,2817
1645481427.716499090,2818
1645481427.749790907,2819
1645481427.783185959,2820
1645481427.816431046,2821
1645481427.849831104,2822
1645481427.883172035,2823
1645481427.916559935,2824
1645481427.949752092,2825
1645481427.983125925,2826
1645481428.016501904,2827
1645481428.049896002,2828
1645481428.083141088,2829
1645481428.116432905,2830
1645481428.149787903,2831
1645481428.183202982,2832
1645481428.216486931,2833
1645481428.249900103,2834
1645481428.283150911,2835
1645481428.316593885,2836
1645481428.350186110,2837
1645481428.383155107,2838
1645481428.416515112,2839
1645481428.449915886,2840
1645481428.483122110,2841
1645481428.516546965,2842
1645481428.549902916,2843
1645481428.583146095,2844
1645481428.616561890,2845
1645481428.649950981,2846
1645481428.683162928,2847
1645481428.716543913,2848
1645481428.749921083,2849
1645481428.783157110,2850
1645481428.816577911,2851
1645481428.849858046,2852
1645481428.883183956,2853
1645481428.916563988,2854
1645481428.949848890,2855
1645481428.983112097,2856
1645481429.016495943,2857
1645481429.049856901,2858
1645481429.083167076,2859
1645481429.116467953,2860
1645481429.149754047,2861
1645481429.183154106,2862
1645481429.216490984,2863
1645481429.249861956,2864
1645481429.283165932,2865
1645481429.316431046,2866
1645481429.349848032,2867
1645481429.383272886,2868
1645481429.416488886,2869
1645481429.450009108,2870
1645481429.483186007,2871
1645481429.516657114,2872
1645481429.550038099,2873
1645481429.583312988,2874
1645481429.616724014,2875
1645481429.650026083,2876
1645481429.683351040,2877
1645481429.716784954,2878
1645481429.750168085,2879
1645481429.783539057,2880
